datetime,riskfree_rate
2017/1/25,2.6925
2017/1/26,2.6884
2017/2/3,2.7387
2017/2/4,2.7347
2017/2/6,2.7991
2017/2/7,2.8019
2017/2/8,2.826
2017/2/9,2.8447
2017/2/10,2.8427
2017/2/13,2.8036
2017/2/14,2.8046
2017/2/15,2.8099
2017/2/16,2.7667
2017/2/17,2.7308
2017/2/20,2.7442
2017/2/21,2.7088
2017/2/22,2.741
2017/2/23,2.7654
2017/2/24,2.7489
2017/2/27,2.726
2017/2/28,2.7208
2017/3/1,2.734
2017/3/2,2.7759
2017/3/3,2.807
2017/3/6,2.8009
2017/3/7,2.8153
2017/3/8,2.8202
2017/3/9,2.8314
2017/3/10,2.8299
2017/3/13,2.8375
2017/3/14,2.8345
2017/3/15,2.8292
2017/3/16,2.8313
2017/3/17,2.8515
2017/3/20,2.8572
2017/3/21,2.8842
2017/3/22,2.877
2017/3/23,2.9166
2017/3/24,2.8728
2017/3/27,2.8688
2017/3/28,2.8601
2017/3/29,2.8845
2017/3/30,2.8661
2017/3/31,2.8645
2017/4/1,2.842
2017/4/5,2.8603
2017/4/6,2.9678
2017/4/7,2.9561
2017/4/10,2.9515
2017/4/11,2.9534
2017/4/12,2.9577
2017/4/13,2.9568
2017/4/14,2.9621
2017/4/17,3.0277
2017/4/18,3.0953
2017/4/19,3.1039
2017/4/20,3.1277
2017/4/21,3.1179
2017/4/24,3.1075
2017/4/25,3.1188
2017/4/26,3.1188
2017/4/27,3.1222
2017/4/28,3.2041
2017/5/2,3.1773
2017/5/3,3.1905
2017/5/4,3.3227
2017/5/5,3.3007
2017/5/8,3.2989
2017/5/9,3.317
2017/5/10,3.4627
2017/5/11,3.4649
2017/5/12,3.4677
2017/5/15,3.4955
2017/5/16,3.4726
2017/5/17,3.5174
2017/5/18,3.4841
2017/5/19,3.51
2017/5/22,3.5358
2017/5/23,3.5263
2017/5/24,3.5709
2017/5/25,3.571
2017/5/26,3.5613
2017/5/27,3.5322
2017/5/31,3.4988
2017/6/1,3.4795
2017/6/2,3.4831
2017/6/5,3.4978
2017/6/6,3.518
2017/6/7,3.5135
2017/6/8,3.6528
2017/6/9,3.6535
2017/6/12,3.6237
2017/6/13,3.5991
2017/6/14,3.62
2017/6/15,3.5764
2017/6/16,3.5989
2017/6/19,3.5889
2017/6/20,3.4858
2017/6/21,3.4898
2017/6/22,3.4904
2017/6/23,3.4903
2017/6/26,3.4678
2017/6/27,3.4148
2017/6/28,3.4255
2017/6/29,3.4265
2017/6/30,3.446
2017/7/3,3.4545
2017/7/4,3.4528
2017/7/5,3.4615
2017/7/6,3.456
2017/7/7,3.459
2017/7/10,3.4567
2017/7/11,3.4566
2017/7/12,3.4513
2017/7/13,3.4473
2017/7/14,3.4464
2017/7/17,3.424
2017/7/18,3.44
2017/7/19,3.4248
2017/7/20,3.4146
2017/7/21,3.393
2017/7/24,3.3862
2017/7/25,3.3764
2017/7/26,3.3895
2017/7/27,3.3854
2017/7/28,3.3825
2017/7/31,3.3838
2017/8/1,3.4096
2017/8/2,3.3975
2017/8/3,3.3946
2017/8/4,3.3869
2017/8/7,3.3524
2017/8/8,3.3735
2017/8/9,3.3689
2017/8/10,3.3664
2017/8/11,3.3545
2017/8/14,3.3507
2017/8/15,3.3366
2017/8/16,3.3468
2017/8/17,3.3446
2017/8/18,3.3355
2017/8/21,3.3364
2017/8/22,3.3381
2017/8/23,3.34
2017/8/24,3.3422
2017/8/25,3.3492
2017/8/28,3.3533
2017/8/29,3.3582
2017/8/30,3.3679
2017/8/31,3.3825
2017/9/1,3.3987
2017/9/4,3.4043
2017/9/5,3.428
2017/9/6,3.4283
2017/9/7,3.4799
2017/9/8,3.4661
2017/9/11,3.4601
2017/9/12,3.488
2017/9/13,3.4904
2017/9/14,3.479
2017/9/15,3.4675
2017/9/18,3.468
2017/9/19,3.4634
2017/9/20,3.4556
2017/9/21,3.4524
2017/9/22,3.4526
2017/9/25,3.4417
2017/9/26,3.4441
2017/9/27,3.4488
2017/9/28,3.4444
2017/9/29,3.4492
2017/9/30,3.4449
2017/10/9,3.4569
2017/10/10,3.4757
2017/10/11,3.49
2017/10/12,3.4851
2017/10/13,3.4753
2017/10/16,3.5119
2017/10/17,3.5045
2017/10/18,3.5036
2017/10/19,3.4855
2017/10/20,3.4878
2017/10/23,3.4812
2017/10/24,3.4797
2017/10/25,3.4831
2017/10/26,3.5066
2017/10/27,3.5387
2017/10/30,3.5352
2017/10/31,3.55
2017/11/1,3.5374
2017/11/2,3.563
2017/11/3,3.5729
2017/11/6,3.5767
2017/11/7,3.5867
2017/11/8,3.5864
2017/11/9,3.5508
2017/11/10,3.557
2017/11/13,3.561
2017/11/14,3.5714
2017/11/15,3.613
2017/11/16,3.6462
2017/11/17,3.6448
2017/11/20,3.6563
2017/11/21,3.6421
2017/11/22,3.6515
2017/11/23,3.652
2017/11/24,3.6418
2017/11/27,3.6515
2017/11/28,3.6826
2017/11/29,3.6576
2017/11/30,3.6503
2017/12/1,3.6585
2017/12/4,3.6341
2017/12/5,3.6431
2017/12/6,3.6491
2017/12/7,3.7492
2017/12/8,3.7517
2017/12/11,3.775
2017/12/12,3.8044
2017/12/13,3.7844
2017/12/14,3.7743
2017/12/15,3.7834
2017/12/18,3.7787
2017/12/19,3.7702
2017/12/20,3.7908
2017/12/21,3.805
2017/12/22,3.7824
2017/12/25,3.7918
2017/12/26,3.7873
2017/12/27,3.7666
2017/12/28,3.7911
2017/12/29,3.7579
2018/1/2,3.6953
2018/1/3,3.6707
2018/1/4,3.6117
2018/1/5,3.5941
2018/1/8,3.5653
2018/1/9,3.5548
2018/1/10,3.5595
2018/1/11,3.6009
2018/1/12,3.5874
2018/1/15,3.5948
2018/1/16,3.5801
2018/1/17,3.5886
2018/1/18,3.5774
2018/1/19,3.5662
2018/1/22,3.5552
2018/1/23,3.5479
2018/1/24,3.5405
2018/1/25,3.5171
2018/1/26,3.519
2018/1/29,3.5256
2018/1/30,3.5107
2018/1/31,3.5131
2018/2/1,3.4851
2018/2/2,3.4852
2018/2/5,3.4711
2018/2/6,3.4268
2018/2/7,3.4204
2018/2/8,3.4354
2018/2/9,3.4388
2018/2/11,3.4214
2018/2/12,3.418
2018/2/13,3.4187
2018/2/14,3.3924
2018/2/22,3.4197
2018/2/23,3.4379
2018/2/24,3.4161
2018/2/26,3.3773
2018/2/27,3.315
2018/2/28,3.3501
2018/3/1,3.2821
2018/3/2,3.2521
2018/3/5,3.2862
2018/3/6,3.2734
2018/3/7,3.2835
2018/3/8,3.2719
2018/3/9,3.2973
2018/3/12,3.2877
2018/3/13,3.2947
2018/3/14,3.3127
2018/3/15,3.2987
2018/3/16,3.3077
2018/3/19,3.3095
2018/3/20,3.3234
2018/3/21,3.2958
2018/3/22,3.2842
2018/3/23,3.2296
2018/3/26,3.2775
2018/3/27,3.277
2018/3/28,3.2862
2018/3/29,3.2868
2018/3/30,3.3029
2018/4/2,3.3193
2018/4/3,3.3072
2018/4/4,3.305
2018/4/8,3.2993
2018/4/9,3.2868
2018/4/10,3.2802
2018/4/11,3.2891
2018/4/12,3.2812
2018/4/13,3.2637
2018/4/16,3.1896
2018/4/17,3.1967
2018/4/18,3.0784
2018/4/19,2.9387
2018/4/20,3.0174
2018/4/23,2.9796
2018/4/24,3.0475
2018/4/25,3.0393
2018/4/26,3.0541
2018/4/27,3.0662
2018/4/28,3.0726
2018/5/2,3.0991
2018/5/3,3.1042
2018/5/4,3.102
2018/5/7,3.0596
2018/5/8,3.0763
2018/5/9,3.0624
2018/5/10,3.0649
2018/5/11,3.0584
2018/5/14,3.0689
2018/5/15,3.0909
2018/5/16,3.1148
2018/5/17,3.1425
2018/5/18,3.2001
2018/5/21,3.2062
2018/5/22,3.2284
