order_book_id,2022/12/31,2023/6/30,2023/12/31,2024/6/30,2024/12/31,2025/6/30
535,58.1492,78.5674,87.1746,92.6868,90.8855,77.1546
538,92.4728,78.8501,81.6479,77.2112,77.5479,64.1678
541,57.9324,65.0374,60.283,48.6805,51.8441,46.4721
545,62.0591,36.4007,33.0157,26.5287,33.4129,35.8981
547,66.8646,69.2029,62.4652,64.695,71.5536,56.5976
549,71.321,67.686,68.1829,72.7685,71.3161,69.9268
550,73.5185,57.5515,50.6632,51.6193,73.0982,70.0832
551,84.9772,84.6755,82.6432,65.7328,79.7649,45.5839
554,75.6863,69.445,68.7653,62.9478,48.612,56.4734
556,11.7763,4.9452,7.0521,2.6746,5.787,2.0069
557,11.7763,4.9452,7.0521,2.6746,5.787,2.0069
566,66.9352,52.3974,53.1809,59.9508,63.0693,59.111
567,71.8765,65.6016,47.7927,47.2161,52.817,18.0837
572,7.6305,8.2618,5.9705,4.4345,3.0559,5.7979
573,41.1734,40.3212,54.3778,54.5545,43.578,46.9883
574,58.1947,33.4079,31.3389,26.5959,23.6977,64.1614
577,49.3139,54.2107,64.193,72.0187,73.9407,80.3106
584,84.6256,52.9673,52.6273,57.4117,28.2853,42.6306
586,46.7654,58.1175,73.7788,84.4006,90.1822,82.1802
587,56.7812,76.314,58.3974,46.0061,65.7854,62.7107
589,39.6977,41.1829,41.6002,42.8197,40.9636,37.7673
590,16.2245,15.6131,12.3653,10.3521,16.0592,9.7685
591,33.3459,35.2141,29.1653,22.5803,24.3129,30.8402
592,73.8619,87.6728,82.8518,70.4132,70.5185,64.2432
594,58.6939,67.7564,70.7764,60.7469,65.5867,66.2423
595,50.2426,52.4157,68.4755,68.105,66.6764,67.0108
597,15.7257,15.4423,20.5507,8.5617,7.5088,15.3561
598,78.126,74.2838,71.7045,65.5372,83.2778,77.4314
601,70.8627,69.2036,76.5078,82.1973,73.1946,73.7389
603,88.4487,87.8874,74.0967,78.8808,84.1218,73.5797
609,53.8419,60.3415,58.7007,49.4015,60.0212,59.1212
612,56.927,50.715,56.8038,67.2694,63.5116,64.1826
619,48.9854,58.8504,68.6028,33.74,43.6752,50.3667
628,52.959,56.2145,55.0481,53.3514,47.2094,42.7296
634,64.3684,77.2082,77.917,73.3211,63.7605,73.7126
639,7.2983,8.1389,7.0544,0,0.9788,8.5848
646,53.3938,48.4972,65.7379,52.3638,19.9127,26.3814
649,67.6124,64.7492,67.1308,56.4879,85.9927,88.801
652,58.1709,68.5752,71.2253,63.1535,70.9208,66.8648
654,53.9062,58.662,62.9742,60.9184,57.7927,63.5815
663,47.3762,58.0598,63.1512,63.24,64.9173,67.0565
664,27.6921,25.9764,21.1633,19.2774,21.9367,3.8664
679,43.4367,23.4469,62.4401,54.7326,62.1564,62.0359
684,83.6274,66.6929,43.7995,56.8106,75.7116,75.649
688,43.519,52.9691,61.5403,73.3852,70.3896,64.2829
689,91.3863,85.9124,87.6726,74.5129,85.4053,61.0763
690,86.8237,77.0762,81.6197,85.8123,80.7095,92.8656
696,84.9196,85.6544,83.8196,68.0146,62.1152,65.9253
697,38.8626,41.1342,39.2456,66.9711,76.3913,67.0432
698,81.3847,60.7704,83.9698,81.5558,86.734,89.491
706,32.9265,76.205,72.4723,70.8721,77.7663,71.3565
711,52.0002,62.2128,61.4829,63.3979,53.1801,49.7282
714,1.6612,54.0126,50.8674,92.108,63.9851,47.9774
717,63.9411,73.8988,86.8413,77.025,80.8207,83.7444
727,55.8451,57.445,57.7804,49.8263,63.9554,54.7762
729,55.3616,69.5595,51.193,66.3026,71.559,53.4815
739,70.6586,66.0606,75.4651,74.4517,82.3919,61.9366
742,79.9708,76.0587,91.8347,89.4152,80.6856,68.3908
